시도명,시군구명,0~5,6~10,11~15,16~20,21~25,26~30,31~35,36~40,41~45,46~50,51~55,56~60,61~65,66~70,71~75,76~80,81~85,86~90,91~95,96~100,101~105,106~110
전북특별자치도,익산시,4.0,7.0,24.0,646.0,3556.0,4356.0,3328.0,2443.0,3028.0,3489.0,4756.0,5746.0,6717.0,5759.0,4322.0,3517.0,3468.0,2101.0,764.0,111.0,13.0,4.0
전북특별자치도,임실군,0.0,0.0,0.0,17.0,107.0,264.0,221.0,179.0,263.0,402.0,648.0,908.0,1184.0,878.0,765.0,671.0,902.0,644.0,203.0,49.0,6.0,2.0
전북특별자치도,장수군,0.0,2.0,1.0,11.0,87.0,181.0,144.0,178.0,223.0,287.0,496.0,670.0,768.0,647.0,556.0,489.0,661.0,450.0,147.0,15.0,4.0,0.0
전북특별자치도,전주시 덕진구,7.0,13.0,18.0,518.0,4894.0,6685.0,5545.0,3759.0,3801.0,3855.0,4709.0,5049.0,5355.0,4383.0,3317.0,2674.0,2358.0,1346.0,422.0,62.0,6.0,1.0
전북특별자치도,전주시 완산구,9.0,13.0,14.0,457.0,4125.0,6799.0,5868.0,3768.0,3951.0,3929.0,5226.0,5599.0,6508.0,5560.0,4278.0,3413.0,2855.0,1693.0,548.0,119.0,11.0,2.0
전북특별자치도,정읍시,1.0,7.0,14.0,52.0,500.0,1226.0,1080.0,899.0,1179.0,1626.0,2388.0,2942.0,3356.0,2992.0,2207.0,2045.0,2356.0,1660.0,621.0,114.0,13.0,4.0
전북특별자치도,진안군,0.0,3.0,2.0,16.0,99.0,177.0,169.0,170.0,254.0,362.0,621.0,886.0,1067.0,856.0,628.0,596.0,692.0,501.0,179.0,33.0,10.0,0.0
제주특별자치도,서귀포시,1.0,11.0,21.0,101.0,1036.0,2325.0,2200.0,1992.0,2893.0,3374.0,4650.0,4707.0,4997.0,3808.0,2344.0,1969.0,1934.0,1306.0,572.0,88.0,28.0,5.0
제주특별자치도,제주시,8.0,22.0,31.0,355.0,3875.0,8141.0,7593.0,5911.0,7639.0,7925.0,10500.0,10137.0,10071.0,7832.0,4877.0,3951.0,3358.0,2310.0,1034.0,186.0,60.0,3.0
충청남도,계룡시,0.0,2.0,0.0,21.0,204.0,646.0,576.0,410.0,472.0,437.0,538.0,595.0,645.0,581.0,374.0,249.0,300.0,175.0,67.0,12.0,0.0,0.0
