rank,name,writer,pub,price
1,소년이 온다,한강 저,창비,"13,500"
2,채식주의자,한강 저,창비,9.7
3,작별하지 않는다,한강 저,문학동네,"13,500"
4,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,9.2
5,서랍에 저녁을 넣어 두었다,한강 저,문학과지성사,"15,120"
6,트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 5명",미래의창,9.5
7,흰,한강 저/최진혁 사진,문학동네,"21,420"
8,산타 할아버지의 첫 크리스마스,맥 바넷 글/시드니 스미스 그림/김지은 역,책읽는곰,9.6
9,희랍어 시간,한강 저,문학동네,"10,800"
10,넥서스,유발 하라리 저/김명주 역,김영사,9.6
